,DATE,MORTGAGE30US
0,"April 2, 1971",7.33
1,"April 9, 1971",7.31
2,"April 16, 1971",7.31
3,"April 23, 1971",7.31
4,"April 30, 1971",7.29
5,"May 7, 1971",7.38
6,"May 14, 1971",7.42
7,"May 21, 1971",7.44
8,"May 28, 1971",7.46
9,"June 4, 1971",7.52
10,"June 11, 1971",7.52
11,"June 18, 1971",7.54
12,"June 25, 1971",7.54
13,"July 2, 1971",7.54
14,"July 9, 1971",7.54
15,"July 16, 1971",7.6
16,"July 23, 1971",7.65
17,"July 30, 1971",7.69
18,"August 6, 1971",7.66
19,"August 13, 1971",7.73
20,"August 20, 1971",7.71
21,"August 27, 1971",7.69
22,"September 3, 1971",7.71
23,"September 10, 1971",7.67
24,"September 17, 1971",7.7
25,"September 24, 1971",7.67
26,"October 1, 1971",7.67
27,"October 8, 1971",7.63
28,"October 15, 1971",7.63
29,"October 22, 1971",7.58
30,"October 29, 1971",7.63
31,"November 5, 1971",7.59
32,"November 12, 1971",7.56
33,"November 19, 1971",7.54
34,"November 26, 1971",7.51
35,"December 3, 1971",7.49
36,"December 10, 1971",7.47
37,"December 17, 1971",7.48
38,"December 24, 1971",7.48
39,"December 31, 1971",7.48
40,"January 7, 1972",7.46
41,"January 14, 1972",7.46
42,"January 21, 1972",7.43
43,"January 28, 1972",7.4
44,"February 4, 1972",7.35
45,"February 11, 1972",7.33
46,"February 18, 1972",7.31
47,"February 25, 1972",7.31
48,"March 3, 1972",7.32
49,"March 10, 1972",7.32
50,"March 17, 1972",7.31
51,"March 24, 1972",7.31
52,"March 31, 1972",7.23
53,"April 7, 1972",7.25
54,"April 14, 1972",7.29
55,"April 21, 1972",7.29
56,"April 28, 1972",7.33
57,"May 5, 1972",7.33
58,"May 12, 1972",7.38
59,"May 19, 1972",7.38
60,"May 26, 1972",7.4
61,"June 2, 1972",7.36
62,"June 9, 1972",7.38
63,"June 16, 1972",7.38
64,"June 23, 1972",7.36
65,"June 30, 1972",7.38
66,"July 7, 1972",7.38
67,"July 14, 1972",7.4
68,"July 21, 1972",7.4
69,"July 28, 1972",7.4
70,"August 4, 1972",7.35
71,"August 11, 1972",7.41
72,"August 18, 1972",7.42
73,"August 25, 1972",7.42
74,"September 1, 1972",7.42
75,"September 8, 1972",7.42
76,"September 15, 1972",7.42
77,"September 22, 1972",7.41
78,"September 29, 1972",7.43
79,"October 6, 1972",7.41
80,"October 13, 1972",7.41
81,"October 20, 1972",7.44
82,"October 27, 1972",7.42
83,"November 3, 1972",7.43
84,"November 10, 1972",7.42
85,"November 17, 1972",7.42
86,"November 24, 1972",7.44
87,"December 1, 1972",7.45
88,"December 8, 1972",7.43
89,"December 15, 1972",7.43
90,"December 22, 1972",7.45
91,"December 29, 1972",7.45
92,"January 5, 1973",7.44
93,"January 12, 1973",7.44
94,"January 19, 1973",7.44
95,"January 26, 1973",7.43
96,"February 2, 1973",7.43
97,"February 9, 1973",7.43
98,"February 16, 1973",7.45
99,"February 23, 1973",7.45
100,"March 2, 1973",7.45
101,"March 9, 1973",7.45
102,"March 16, 1973",7.45
103,"March 23, 1973",7.45
104,"March 30, 1973",7.49
